307951278120632321,"('birmingham, al', 'united states')","trussville, alabama ","[33.6082235, -86.6235859]",central time (us & canada),,mistahscott,the weather in birmingham is so damn backwards. it was just snowing now the sun is out.
307951278296793089,"('la mesa, ca', 'united states')",ep mn ,"[32.78585207, -117.03136643]",mountain time (us & canada),,skully_bonez,@jabril_abdi35 i don't have your license in my car
307951278506532865,"('lake oswego, or', 'united states')","lake oswego,or","[45.43035361, -122.72793806]",pacific time (us & canada),,iwinsanity,one day we are friends then the other days they backstab you...
307951279047593985,"('kaw, mo', 'united states')","kansas city, mo","[39.10799972, -94.58577744]",mountain time (us & canada),,allisonway,he wants to go to miami with mikecarrollmc ! @ richards &amp; conover lofts http://t.co/dtax0wpkgx
307951279018225664,"('milan, milan', 'italy')","milan, italy","[45.48398871, 9.24069446]",rome,,tulipan81,i'm at calabrone 2 http://t.co/ygun5aosvx
307951279181799424,"('gravesham, kent', 'united kingdom')",,"[51.3747758, 0.3601396]",london,,jgbethell,@clitherowkelly {{{{{**}}}}} x x
307951281648066560,"('salem, or', 'united states')",my home town salem	oregon 503,"[44.9700576, -122.9971454]",none,,503ju4n,watching this all time :o
307951282000371713,"('anaheim, ca', 'united states')","ladera ranch, ca","[33.81423838, -117.92044059]",pacific time (us & canada),"['disneyland', 'lrms']",mattkc1,performing at #disneyland !! teddyc412 and the #lrms 7th grade orchestra! @ big thunder ranch jamboree http://t.co/uoetv69npu
307951282075881472,"('orchards, wa', 'united states')","ridgefield, wa","[45.67214984, -122.53414267]",none,,jhassler80,@blazermb @nicholasfilipas yeah they probably want a 2nd round pick for allowing that!
307951282637926400,"('porto alegre, rio grande do sul', 'brasil')",tatooine,"[-30.0513287, -51.2050004]",brasilia,['brazillovesyouliampayne'],mariazinha_luh,#brazillovesyouliampayne we will love for a thousand year and love you for a thousand more @real_liam_payne v
307951282633728000,"('division no. 11, alberta', 'canada')","edmonton, alberta","[53.6053194, -113.4138284]",none,,anthonyyeg,"@bcbluedogs liberal or ndp, b.c.'s a failed example for the economy and jobs. that's why we're all moving next door to alberta :p lol."
307951283397087233,"('sandwell, sandwell', 'united kingdom')",,"[52.5555, -1.99547]",casablanca,,chels_whiles,@chloeliveseyxxx me either!
307951283959119873,"('reno north, nv', 'united states')","reno, nv","[39.5481327, -119.8330307]",pacific time (us & canada),,unwiredmedic,there are a disproportionately high number of honda pilots at the park today. (@ rancho san rafael dog park) http://t.co/1rbjireagn
307951284227567616,"('dallas, tx', 'united states')","dallas , texas","[32.73605581, -96.85737352]",eastern time (us & canada),,jay_martinez15,everyone compliments on me . cx
307951286089814016,"('wisconsin, us', 'united states')",two rivers wiscosin ,,mountain time (us & canada),['jacksons'],latoyafan1,@skipabeat123 yes totally love #jacksons there amazing what they done with there music  !    i am watching jackson's an american dream
307951286752518145,"('buffalo, ny', 'united states')",in the kitchen ^_^,"[42.94730255, -78.8132835]",eastern time (us & canada),,bite_meee__,"hey this makes sence ! ""@ispeakmarijuana: why should i be labeled a criminal, for smoking a plant that harms nobody."""
307951287113224193,"(""king's lynn and west norfolk, norfolk"", 'united kingdom')","king's lynn, norfolk, england","[52.74905687, 0.39837786]",london,,jakeseeks22,"@tom_clayton13 haha, ill give you that not many females about but this is me so they don't want to no haha"
307951287222296576,"('mid devon, devon', 'united kingdom')",,"[50.89562512, -3.49973486]",none,,corkieparker,"@idk_h3y he didn't say he was home, dont think he wanted me to go down.. oh well can't even be bothered to even go out now"
307951287549456384,"('cincinnati, oh', 'united states')",,"[39.13099079, -84.51409789]",eastern time (us & canada),,bassthesnake,@kevintdillon they just brought out a centipede.. lost it.
307951286639292416,"('myrtle beach, sc', 'united states')","columbia, south carolina",,eastern time (us & canada),['omgrobots'],wmleverette,"they made it up, but something jammed on their dumper. only 30, but that ladies and gents is hustle. #omgrobots http://t.co/mhtkujjv2j"
307951287767535616,"('', '')","kano,nigeria","[10.5118, 7.40725]",none,,abduldanga,people start to miss you more when they see how much happier you are without them.
307951287767539712,"('hollywood, fl', 'united states')",,"[26.02479598, -80.1430573]",quito,['traplife'],harrisonrossf,trap is like regular house music but on steroids #traplife
307951287662682112,"('mississippi, us', 'united states')",,"[30.30940525, -90.60179922]",central time (us & canada),,haleyy_c,"idk how to feel, what to say..."
307951287998218242,"('aylesbury vale, buckinghamshire', 'united kingdom')",university of nottingham,"[52.00529741, -0.98848597]",london,,pollage,@morganb804 romance is for losers (;
307951288048566273,"('pennsauken, nj', 'united states')","pennsauken,new jersey","[39.96060562, -75.05392712]",atlantic time (canada),,suckmyquisecles,@imvictoria_  lol only freaks get their nipples pierced frfr jst so they nipples are always hard
307951290024079360,"('florida, us', 'united states')",ct,,quito,,anniem695,@windy7777777 figured out what the problem is -- sortof. has to do with garbage disposal...have called plumber :/
307951290850365440,"('schaumburg, il', 'united states')",chicago ill,"[42.04727933, -88.03636357]",central time (us & canada),,victorq1,"i'm at macy's (schaumburg, il) w/ 4 others http://t.co/bs8s0vcowz"
307951290955214848,"('uwchlan, pa', 'united states')",philadelphia,"[40.0607893, -75.6684034]",eastern time (us & canada),,mermaid_feet,i might have drank too much to be looking at a house right now.
307951291051675648,"('valvoline instant oil change, clemson', 'united states')",clemson university,"[34.69171796, -82.80812676]",eastern time (us & canada),,syuahjeng,i just ousted @_sejohnson as the mayor of valvoline instant oil change on @foursquare! http://t.co/zdtbmynfou
307951291324305409,"('chesterfield, derbyshire', 'united kingdom')",,"[53.25623321, -1.45066227]",none,,arbmcfcpab,@gazsull10 been honest.. you love em lol
307951291647283200,"('dallas, tx', 'united states')",gallifrey,"[32.84375111, -96.85020043]",eastern time (us & canada),,karaaislinn,everything is backwards in this airport
307951292473548800,"('angus, angus', 'united kingdom')",carnoustie/scotland,"[56.4992054, -2.7232699]",casablanca,,pete_candy,owwww my twitter thumb!!!
307951292431609856,"('west lancashire, lancashire', 'united kingdom')",,"[53.53502, -2.75406]",london,,evelinasiaunyte,half 8 and i'm knackered hahaha what
307951292423237632,"('california, md', 'united states')",,"[38.28686602, -76.4857141]",atlantic time (canada),,goaheadstalkme,"""damn that bitch is bad"" why thank you wawa people"
307951294201597952,"('marina del rey, ca', 'united states')",la,"[33.98112543, -118.45789433]",pacific time (us & canada),"['siblinglove', 'love', 'weekendfun', 'summer', 'beach', 'socal']",momreen,fun in the sun with fpebrian28. #siblinglove #love #weekendfun #summer #beach #socal @ mother's beach http://t.co/7eyrch1vr8
307951294419718145,"('georgia, us', 'united states')","griffin, ga","[33.27670151, -84.30529741]",quito,,dha_shotcallr,@kiildo_13 have fun bro.  be safe tonight.
307951294813974528,"('minneapolis, mn', 'united states')","mankato, minnesota ","[45.0017129, -93.2233011]",mountain time (us & canada),['gosh'],faded_angels,sittn at mcdonalds by myself eating. this reminds me of my 1st 3months at heights. #gosh that was the worst part of highschool! .!
307951295078219776,"('carmarthenshire, carmarthenshire', 'united kingdom')",caerphilly,"[51.78882452, -3.96708944]",none,,georgejonesyee,"""i'm not saying i need a pube trimmer, but when i get an erection it looks like pinocchio has joined the taliban"""
307951293677314048,"('phoenix, az', 'united states')",usually on a plane,"[33.49941456, -112.08276393]",arizona,,seg213,lemme have some pops!!! @frufrupops http://t.co/pjipruqglv
307951295317286914,"('chicago, il', 'united states')",chicago boahhhhhhhhh,"[41.83997332, -87.6591147]",central time (us & canada),"['hangover', 'whathappenedlastnight']",ieatzthebooty,i feel like shit #hangover #whathappenedlastnight
307951296093229056,"('omaha, ne', 'united states')",,"[41.3096456, -96.03747723]",mountain time (us & canada),,malikryl_,@ispokereal what u gone do ?
